분류,표기,요미가나,한국어 뜻
중급,政治色,せいじしょく,정치색
중급,再提出,さいていしゅつ,재제출
중급,都会育ち,とかいそだち,도시에서 자람
중급,一仕事,ひとしごと,한 가지 일
중급,ボール状,ボールじょう,"볼형, 동그란 모양"
중급,別会場,べつかいじょう,다른 회장
중급,現社長,げんしゃちょう,현재 사장
중급,同意見,どういけん,같은 의견
중급,食べ頃,たべごろ,"먹기에 적당한 때, 제철"
중급,仮登録,かりとうろく,"가등록, 임시 등록"
중급,異分野,いぶんや,다른 분야
중급,写真付き,しゃしんつき,사진 첨부
중급,現制度,げんせいど,현재 제도
중급,用心深い,ようじんぶかい,조심성이 많다
중급,貴財団,きざいだん,귀재단
중급,無回答,むかいとう,"무회답, 무응답"
중급,日本風,にほんふう,일본풍
중급,壁際,かべぎわ,"벽가, 벽 옆"
중급,対抗心,たいこうしん,대항심
중급,諸手続き,しょてつづき,여러 수속
중급,二人連れ,ふたりづれ,두사람 일행
중급,主原料,しゅげんりょう,주원료
중급,読書離れ,どくしょばなれ,독서 기피
중급,決定権,けっていけん,결정권
중급,名選手,めいせんしゅ,명선수
중급,最接近,さいせっきん,최접근
중급,私宛て,わたしあて,내 앞
중급,のんびり,のんびり,한가로이
중급,徐々に,じょじょに,서서히
중급,マイペース,マイペース,마이 페이스
중급,上昇,じょうしょう,상승
중급,評判,ひょうばん,평판
중급,シーズン,シーズン,시즌
중급,尽きる,つきる,"다하다, 소진되다"
중급,温厚な,おんこうな,"온후한, 다정다감한"
중급,発揮,はっき,발휘
중급,相次ぐ,あいつぐ,"잇따르다, 이어지다"
중급,あいまいな,あいまいな,애매한
중급,通じる,つうじる,통하다
중급,有効,ゆうこう,유효
중급,含む,ふくむ,포함하다
중급,解消,かいしょう,해소
중급,ぶらぶら,ぶらぶら,어슬렁어슬렁
중급,改善,かいぜん,개선
중급,活気,かっき,활기
중급,迫る,せまる,"다가오다, 임박하다"
중급,詰まる,つまる,"가득 차다, 막히다"
중급,割と,わりと,비교적
중급,反映,はんえい,반영
중급,視野,しや,시야
중급,ぼんやり,ぼんやり,"희미하게, 멍하게"
중급,さっぱり,さっぱり,전혀
중급,強み,つよみ,강점
중급,機能,きのう,기능
중급,散らかる,ちらかる,"흩어지다, 어질러지다"
중급,偏る/片寄る,かたよる,"치우치다, 편중되다"
중급,辞退,じたい,사퇴
중급,着々と,ちゃくちゃくと,"착착, 순조롭게"
중급,得る,える,얻다
중급,いらいらする,いらいらする,초조해하다
중급,ぐち,ぐち,"푸념, 넋두리"
중급,改正,かいせい,개정
중급,場面,ばめん,장면
중급,夢中,むちゅう,열중
중급,成長,せいちょう,성장
중급,ごろごろ,ごろごろ,"데굴데굴, 뒹굴뒹굴"
중급,適度な,てきどな,"적당한, 알맞은"
중급,呼び止める,よびとめる,불러 세우다
중급,中継,ちゅうけい,중계
중급,解散,かいさん,해산
중급,ぜいたくな,ぜいたくな,사치스러운
중급,スムーズに,スムーズに,부드럽게
중급,見当がつく,けんとうがつく,짐작이 가다
중급,つらい,つらい,"괴롭다, 힘들다"
중급,すっきり,すっきり,"산뜻하게, 후련하게"
중급,意欲,いよく,의욕
중급,比例,ひれい,비례
중급,専念,せんねん,전념
중급,つまずく,つまずく,"걸려 넘어지다, 좌절하다"
중급,格好,かっこう,"모습, 모양"
중급,あいにく,あいにく,공교롭게도
중급,腹を立てる,はらをたてる,화를 내다
중급,思いきって,おもいきって,과감하게
중급,導入,どうにゅう,도입
중급,訂正,ていせい,정정
중급,やかましい,やかましい,시끄럽다
중급,目指す,めざす,"지향하다, 목표로 하다"
중급,パンク,パンク,펑크
중급,一気に,いっきに,"단숨에, 단번에"
중급,あらかじめ,あらかじめ,미리
중급,蓄える,たくわえる,"저축하다, 비축하다"
중급,体格,たいかく,체격
중급,リラックスする,リラックスする,긴장을 풀다
중급,差し支える,さしつかえる,지장이 있다
중급,うとうと,うとうと,꾸벅꾸벅(조는 모양)
중급,特色,とくしょく,특색
중급,予測,よそく,예측
중급,びっしょり,びっしょり,흠뻑(완전히 젖은 모양)
중급,濁る,にごる,"흐려지다, 탁해지다"
중급,輝かしい,かがやかしい,"빛나다, 눈부시다"
중급,完了,かんりょう,완료
중급,面する,めんする,"면하다, 마주 대하다"
중급,バランス,バランス,"밸런스, 균형"
중급,鋭い,するどい,"날카롭다, 예리하다"
중급,たっぷり,たっぷり,듬뿍
중급,デザイン,デザイン,디자인
중급,相違,そうい,"다름, 틀림"
중급,安易な,あんいな,안이한
중급,提供,ていきょう,제공
중급,ぐったり,ぐったり,매우 지친 모습
중급,ショック,ショック,"쇼크, 충격"
중급,普及,ふきゅう,보급
중급,じゃま,じゃま,방해
중급,引き止める,ひきとめる,"만류하다, 제지하다"
중급,なだらかな,なだらかな,완만한
중급,リーダー,リーダー,"리더, 지도자"
중급,活発な,かっぱつな,활발한
중급,頼もしい,たのもしい,믿음직하다
중급,割り込む,わりこむ,끼어들다
중급,おだやかな,おだやかな,온화한
중급,確保,かくほ,확보
중급,アピール,アピール,"어필, 호소"
중급,悔やむ,くやむ,"분하게 여기다, 후회하다"
중급,契機,けいき,계기
중급,ひそひそ,ひそひそ,소근소근
중급,苦情,くじょう,"불평, 클레임"
중급,名所,めいしょ,명소
중급,ぎりぎり,ぎりぎり,아슬아슬
중급,有利な,ゆうりな,유리한
중급,打ち消す,うちけす,부정하다
중급,そそっかしい,そそっかしい,경솔하다
중급,アレンジ,アレンジ,"어레인지, 각색"
중급,独特,どくとく,독특
중급,欠かす,かかす,빠뜨리다
중급,でたらめに,でたらめに,아무렇게나
중급,達する,たっする,"도달하다, 이르다"
중급,スペース,スペース,"스페이스, 공간"
중급,点検,てんけん,점검
중급,にっこり,にっこり,"생긋, 방긋"
중급,続出,ぞくしゅつ,속출
중급,飛び散る,とびちる,사방에 흩날리다
중급,敏感,びんかん,민감
중급,プレッシャー,プレッシャー,"프레셔, 압력"
중급,不安定,ふあんてい,불안정
중급,おとろえる,おとろえる,쇠퇴하다
중급,分担,ぶんたん,분담
중급,ふさわしい,ふさわしい,어울리다
중급,本物,ほんもの,"진짜, 실물"
중급,あこがれ,あこがれ,"동경, 그리움"
중급,転勤,てんきん,전근
중급,栽培,さいばい,재배
중급,評価,ひょうか,평가
중급,尊重,そんちょう,존중
중급,ターゲット,ターゲット,"타겟, 핵심 고객층"
중급,気配,けはい,"기미, 분위기"
중급,いいかげんな,いいかげんな,무책임한
중급,タイミング,タイミング,"타이밍, 적절한 순간"
중급,気軽に,きがるに,부담 없이
중급,添付,てんぷ,첨부
중급,じろじろ,じろじろ,"빤히, 뚫어지게"
중급,限界,げんかい,한계
중급,固める,かためる,굳히다
중급,解約,かいやく,해약
중급,ニーズ,ニーズ,"니즈, 요구"
중급,開設,かいせつ,개설
중급,格好,かっこう,"모습, 볼품"
중급,雇う,やとう,고용하다
중급,思いきる,おもいきる,결심하다
중급,交渉,こうしょう,교섭
중급,クリア,クリア,"클리어, 해결"
중급,劇的に,げきてきに,극적으로
중급,締め切る,しめきる,마감하다
중급,ぞろぞろ,ぞろぞろ,졸졸
중급,設備,せつび,설비
중급,進出,しんしゅつ,진출
중급,まれな,まれな,"드문, 희귀한"
중급,ぎっしり,ぎっしり,가득
중급,いだく,いだく,품다
중급,誤解,ごかい,오해
중급,節約,せつやく,절약
중급,飛びつく,とびつく,달려들다
중급,こそこそ,こそこそ,"살금살금, 소곤소곤"
중급,話題,わだい,화제
중급,後悔,こうかい,후회
중급,リハーサル,リハーサル,"리허설, 예행 연습"
중급,特定,とくてい,특정
중급,かさかさ,かさかさ,"바삭바삭, 꺼칠꺼칠"
중급,まねる,まねる,"흉내내다, 모방하다"
중급,盛り上がる,もりあがる,고조되다
중급,もてなす,もてなす,대접하다
중급,通過,つうか,통과
중급,インパクト,インパクト,"임팩트, 충격"
중급,報道,ほうどう,보도
중급,多大な,ただいな,매우 큰
중급,溶け込む,とけこむ,녹아들다
중급,衰える,おとろえる,쇠퇴하다
중급,思い込む,おもいこむ,"마음먹다, 믿다"
중급,口調,くちょう,"어조, 말투"
중급,役目,やくめ,임무
중급,ずうずうしい,ずうずうしい,뻔뻔스럽다
중급,とりあえず,とりあえず,"우선, 일단"
중급,一応,いちおう,"우선, 일단"
중급,譲る,ゆずる,양도하다
중급,売る,うる,팔다
중급,雑談,ざつだん,잡담
중급,おしゃべり,おしゃべり,"잡담, 수다"
중급,賢い,かしこい,똑똑하다
중급,頭がいい,あたまがいい,머리가 좋다
중급,大げさ,おおげさ,과장
중급,オーバー,オーバー,오버
중급,勝手な,かってな,제멋대로인
중급,わがままな,わがままな,제멋대로인
중급,たびたび,たびたび,종종
중급,何度も,なんども,몇 번이고
중급,とても大きい,とてもおおきい,매우 크다
중급,見解,けんかい,견해
중급,考え方,かんがえかた,"생각, 사고방식"
중급,レンタルする,レンタルする,대여하다
중급,借りる,かりる,빌리다
중급,ブーム,ブーム,붐
중급,流行,りゅうこう,유행
중급,慎重に,しんちょうに,신중하게
중급,注意して,ちゅういして,주의하여
중급,縮む,ちぢむ,"줄어들다, 축소되다"
중급,小さくなる,ちいさくなる,작아지다
중급,ほぼ,ほぼ,거의
중급,だいたい,だいたい,대체로
중급,回復する,かいふくする,회복하다
중급,よくなる,よくなる,좋아지다
중급,疲れる,つかれる,"지치다, 피곤하다"
중급,わずかな,わずかな,얼마 안 되는
중급,少し,すこし,조금
중급,うつむく,うつむく,고개를 숙이다
중급,下を向く,したをむく,아래를 보다
중급,いきなり,いきなり,갑자기
중급,突然,とつぜん,갑자기
중급,直ちに,ただちに,즉시
중급,すぐに,すぐに,바로
중급,奇妙な,きみょうな,기묘한
중급,変な,へんな,이상한
중급,仕上げる,しあげる,"마무리하다, 완성하다"
중급,完成させる,かんせいさせる,완성시키다
중급,日中,にっちゅう,"대낮, 한낮"
중급,昼間,ひるま,"대낮, 한낮"
중급,湿る,しめる,습기 차다
중급,乾かない,かわかない,마르지 않다
중급,追加する,ついかする,추가하다
중급,足す,たす,더하다
중급,相当,そうとう,상당히
중급,かなり,かなり,"꽤, 상당히"
중급,じっとする,じっとする,가만히 있다
중급,動かない,うごかない,움직이지 않는다
중급,誤る,あやまる,"틀리다, 실수하다"
중급,正しくない,ただしくない,"옳지 않다, 맞지 않다"
중급,かさかさする,かさかさする,"거칠거칠하다,마르다"
중급,乾燥する,かんそうする,건조하다
중급,済ます,すます,"마치다, 끝내다"
중급,終える,おえる,"마치다, 끝내다"
중급,はっきりしない,はっきりしない,확실하지 않은
중급,思いがけない,おもいがけない,뜻밖이다
중급,意外だ,いがいだ,의외다
중급,自ら,みずから,스스로
중급,自分で,じぶんで,"스스로, 자신이"
중급,そろう,そろう,"갖추어지다, 모이다"
중급,集まる,あつまる,모이다
중급,およそ,およそ,대략
중급,計画,けいかく,계획
중급,プラン,プラン,플랜
중급,相変わらず,あいかわらず,여전히
중급,依然として,いぜんとして,여전히
중급,必死な,ひっしな,"필사적인, 열심인"
중급,一生懸命な,いっしょうけんめいな,열심인
중급,山の麓,やまのふもと,산기슭
중급,山の下のほう,やまのしたのほう,산 아래쪽
중급,買い占める,かいしめる,"매점하다, 사 모으다"
중급,全部買う,ぜんぶかう,모두 사다
중급,間際,まぎわ,직전
중급,直前,ちょくぜん,직전
중급,たちまち,たちまち,"금세, 순식간에"
중급,勘定する,かんじょうする,지불하다
중급,お金を払う,おかねをはらう,돈을 지불하다
중급,異なる,ことなる,다르다
중급,違う,ちがう,다르다
중급,たまたま,たまたま,우연히
중급,明らかな,あきらかな,분명한
중급,はっきりした,はっきりした,"분명한, 확실한"
중급,用心,ようじん,조심
중급,注意,ちゅうい,주의
중급,騒々しい,そうぞうしい,"시끄럽다, 소란스럽다"
중급,うるさい,うるさい,시끄럽다
중급,所有する,しょゆうする,소유하다
중급,持つ,もつ,"들다, 소유하다"
중급,おそらく,おそらく,아마
중급,多分,たぶん,아마
중급,収納する,しゅうのうする,수납하다
중급,しまう,しまう,"치우다, 간수하다"
중급,小柄だ,こがらだ,몸집이 작다
중급,体が小さい,からだがちいさい,몸집이 작다
중급,無口だ,むくちだ,과묵하다
중급,やや,やや,"다소, 조금"
중급,テンポ,テンポ,"템포, 속도"
중급,速さ,はやさ,속도
중급,妙な,みょうな,묘한
중급,ささやく,ささやく,속삭이다
중급,小声で話す,こごえではなす,작은 목소리로 말하다
중급,かつて,かつて,"일찍이, 예전부터"
중급,以前,いぜん,"이전, 예전"
중급,たびたび,たびたび,자주
중급,何度も,なんども,몇 번이나
중급,注目する,ちゅうもくする,주목하다
중급,関心を持つ,かんしんをもつ,관심을 갖다
중급,じかに,じかに,직접
중급,直接,ちょくせつ,직접
중급,衝突する,しょうとつする,충돌하다
중급,ぶつかる,ぶつかる,충돌하다
중급,卑怯な,ひきょうな,비겁한
중급,ずるい,ずるい,"교활하다, 약다"
중급,愉快だ,ゆかいだ,유쾌하다
중급,面白い,おもしろい,재미있다
중급,しかたない,しかたない,어쩔 수 없다
중급,息抜きする,いきぬきする,"한숨 돌리다, 쉬다"
중급,休む,やすむ,쉬다
중급,ついている,ついている,운이 좋다
중급,運がいい,うんがいい,운이 좋다
중급,つねに,つねに,항상
중급,いつも,いつも,항상
중급,過剰だ,かじょうだ,과잉이다
중급,多すぎる,おおすぎる,너무 많다
중급,あやまり,あやまり,실수
중급,臆病だ,おくびょうだ,겁이 많다
중급,とっくに,とっくに,진작에
중급,ずっと前に,ずっとまえに,훨씬 전에
중급,ゆずる,ゆずる,양보하다
중급,あげる,あげる,주다
중급,記憶する,きおくする,기억하다
중급,覚える,おぼえる,외우다
중급,不平,ふへい,불평
중급,文句,もんく,"불평, 불만"
중급,むかつく,むかつく,"화가 나다, 역겹다"
중급,怒る,おこる,화가 나다
중급,まれな,まれな,드문
중급,ほとんどない,ほとんどない,거의 없는
중급,当てる,あてる,"맞히다, 부딪다"
중급,ぶつける,ぶつける,부딪다
중급,あわれな,あわれな,불쌍한
중급,かわいそうな,かわいそうな,불쌍한
중급,当分,とうぶん,"당분간, 잠시"
중급,しばらく,しばらく,"당분간, 잠시"
중급,一転する,いってんする,완전히 바뀌다
중급,じたばたする,じたばたする,허둥거리다
중급,慌てる,あわてる,"당황해하다, 허둥대다"
중급,テクニック,テクニック,"테크닉, 기술"
중급,技術,きじゅつ,기술
중급,利口な,りこうな,영리한
중급,用心する,ようじんする,조심하다
중급,気をつける,きをつける,조심하다
중급,くどい,くどい,"장황하다, 집요하다"
중급,しつこい,しつこい,"집요하다, 끈질기다"
